scan_number,RT,pepmass,intensity,summed_ms2_intensity,126.0917,147.113,175.119,pass_threshold
1057,979.4362806,1255.032104492188,0.0,47778.5495605469,no,no,no,no
1073,985.4035449,382.849822998047,6626.56005859375,48831.803833008,no,no,no,no
1086,990.1820048,1438.966796875,0.0,56215.317504882994,no,no,no,no
1099,994.9605633,1423.915283203125,0.0,51421.8498535157,no,no,no,no
1100,995.2290845,1123.628173828125,0.0,92335.09448242238,no,no,no,no
1106,997.017614,1356.9521484375,0.0,47429.6336669925,no,no,no,no
1126,1004.597343,741.197082519531,20634.470703125,47077.686645508,no,no,no,no
1131,1006.202925,607.211242675781,21050.91796875,71489.09753418001,no,no,no,no
1135,1007.412995,610.185668945313,10511.046875,60819.0831298829,no,no,no,no
1137,1007.815601,744.195129394531,6192.27001953125,40275.1037597659,no,no,no,no
1151,1012.999781,393.852661132813,17552.103515625,91812.19775390658,no,no,no,no
1202,1033.941657,667.177917480469,28990.6328125,57370.3930664065,no,no,no,no
1207,1035.585331,915.743774414063,24441.212890625,63353.7325439456,no,no,no,no
1212,1037.217539,1212.090454101563,0.0,42415.9748535157,no,no,no,no
1221,1040.477667,651.146789550781,13278.7333984375,64223.2302246096,no,no,no,no
1228,1042.883216,670.175354003906,12692.841796875,37155.1844482424,no,no,no,no
1235,1045.286486,684.205078125,8647.8857421875,70235.9093017581,no,no,no,no
1239,1046.497582,681.23046875,0.0,45821.366210937806,no,no,no,no
1244,1048.102511,394.920379638672,14797.4951171875,46807.1802978516,no,no,no,no
1249,1049.706467,384.70458984375,32026.55859375,75418.67224121121,no,yes,no,no
1303,1070.863078,741.197143554688,19809.94140625,60766.3162841799,no,no,no,no
1318,1076.489992,610.185546875,13331.7421875,62374.732177734404,no,no,no,no
1330,1080.925824,393.852722167969,14409.62890625,67379.7130126955,no,no,no,no
1390,1104.627602,1329.964477539063,6130.552734375,38339.2528076174,no,no,no,no
1408,1111.463458,667.17822265625,23881.875,57092.96093750029,no,no,no,no
1413,1113.066165,394.920257568359,10818.2314453125,35520.178344726904,no,no,no,no
1443,1124.691621,630.292724609375,5001.48291015625,55603.693481445494,no,no,no,no
1462,1131.893865,469.834228515625,14335.61328125,70778.5207519532,no,no,no,no
1477,1137.547038,815.215942382813,7772.46728515625,58920.469116211,no,no,no,no
1491,1142.821455,380.696624755859,29998.16015625,94161.43798828169,no,no,no,no
1496,1144.447021,422.539794921875,9602.8642578125,47167.360961914106,no,no,no,no
1504,1147.303918,670.177001953125,12012.1884765625,48680.2988281252,no,no,no,no
1509,1148.930982,915.741943359375,13281.0966796875,51988.6878662112,no,no,no,no
1518,1152.174388,393.852630615234,16956.45703125,39420.08630371121,no,no,no,no
1524,1154.207425,627.30615234375,5823.70556640625,43048.8837890628,no,no,no,no
1526,1154.6114,684.204833984375,12125.56640625,56454.497680664295,no,no,no,no
1542,1160.706192,741.197143554688,14583.7431640625,53813.363891601795,no,no,no,no
1552,1164.343802,453.220092773438,7378.5888671875,42211.6322021488,no,no,no,no
1571,1171.622785,610.185546875,16264.91015625,67950.8385009769,no,no,no,no
1584,1176.490862,890.235473632813,7610.4580078125,22090.9898681642,no,no,no,no
1590,1178.522905,667.178100585938,34589.30859375,68487.1877441408,no,no,no,no
1591,1178.791299,394.920349121094,5591.9755859375,91004.69201660185,no,no,no,no
1596,1180.207992,633.306579589844,4705.0458984375,49277.9215087895,no,no,no,no
1602,1182.229648,744.196716308594,8015.00146484375,51215.165283203205,no,no,no,no
1622,1189.932362,1238.490600585938,0.0,54196.74548339881,no,no,no,no
1627,1191.5357,878.743469238281,4704.3740234375,46634.985961914295,no,no,no,no
1645,1198.33409,500.241760253906,7403.59765625,25863.5617675783,no,no,no,no
1662,1204.768722,422.539703369141,19739.533203125,36393.031860351904,no,no,no,no
1663,1205.036986,532.268310546875,6527.9541015625,106614.34838867227,no,no,no,no
1688,1214.450492,627.306823730469,9131.765625,45424.3540039064,no,no,no,no
1698,1218.067738,889.235595703125,7290.87548828125,65404.363525390894,no,no,no,no
1699,1218.336909,393.8525390625,10546.9267578125,115828.57043457087,no,no,no,no
1702,1218.94494,477.244781494141,15075.2958984375,51567.09350585961,no,no,no,no
1711,1222.15359,487.823913574219,14986.0859375,87847.91638183637,no,no,no,no
1720,1225.351216,382.169952392578,23052.37890625,44249.617065429804,no,no,yes,no
1727,1227.756758,741.196899414063,19254.115234375,50729.018188476904,no,no,no,no
1742,1233.352169,610.185668945313,21555.080078125,77265.68847656259,no,no,no,no
1747,1234.943891,899.706787109375,0.0,48015.288940430095,no,no,no,no
1767,1242.625088,607.211242675781,12586.490234375,50421.5709228518,no,no,no,no
1775,1245.440484,559.256591796875,3775.90869140625,34737.934204101606,no,no,no,no
1777,1245.845971,394.919830322266,10161.873046875,21701.3381347656,no,no,no,no
1785,1248.656371,577.127746582031,26209.82421875,125373.75488281298,no,no,no,no
1821,1262.625007,451.267547607422,12938.115234375,59277.54345703131,no,no,yes,no
1825,1263.841328,395.209930419922,11138.7529296875,43167.527099609695,no,no,no,no
1829,1265.05654,422.540161132813,17400.0,38094.3519287114,no,no,no,no
1831,1265.466881,1328.573120117188,6885.76025390625,41838.8348388674,no,no,no,no
1838,1267.873316,568.7587890625,13461.8583984375,47458.04711914091,no,no,no,no
1846,1270.677948,815.216003417969,20975.099609375,69749.4918212893,no,no,no,no
1858,1275.07691,817.215087890625,12275.2841796875,62398.19152832041,no,no,no,no
1860,1275.475145,532.208557128906,5389.94091796875,35896.2501220706,no,no,no,no
1865,1277.074968,464.736541748047,27789.814453125,62074.76794433611,no,no,no,no
1877,1281.46818,627.306884765625,7561.8193359375,63367.356201172406,no,no,no,no
1880,1282.278407,393.852386474609,8779.818359375,44204.8221435547,no,no,no,no
1885,1283.895987,408.715209960938,44020.2578125,81740.09899902371,no,no,no,no
1887,1284.299598,405.212463378906,30138.6875,84612.1262207033,no,no,yes,no
1891,1285.510913,1270.058227539063,0.0,49309.6704101565,no,no,no,no
1893,1285.917647,684.204528808594,14691.716796875,81358.00708007878,no,no,no,no
1897,1287.134485,393.21875,30177.08984375,84923.7666015629,no,no,no,no
1900,1287.944581,499.300170898438,10409.3203125,63146.1068115238,no,no,no,no
1913,1292.731299,741.197204589844,16105.818359375,75125.8619384768,no,no,no,no
1914,1292.998672,469.834350585938,16307.904296875,147830.67736816438,no,no,no,no
1923,1295.988167,878.107971191406,0.0,54422.363891601795,no,no,no,no
1932,1299.195422,602.285583496094,10703.3291015625,39610.91088867209,no,no,no,no
1935,1300.010284,610.185791015625,17207.4765625,70412.3719482425,no,no,no,no
1936,1300.278544,487.823791503906,14385.0634765625,73474.86010742221,no,no,no,no
1937,1300.370374,473.309417724609,12326.81640625,94929.79858398448,no,no,no,no
1951,1305.350581,473.2548828125,10969.8876953125,48556.2297363284,no,no,no,no
1954,1306.159313,401.859802246094,29853.8984375,117639.32727050791,no,yes,no,no
1955,1306.428315,605.263671875,10831.3017578125,80923.1219482427,no,no,no,no
1964,1309.439172,550.263427734375,12925.9326171875,42066.45446777381,no,no,no,no
1971,1311.838706,469.834167480469,12163.599609375,61911.7884521488,no,no,no,no
1972,1312.106095,459.7490234375,9163.5302734375,47011.67333984391,no,no,no,no
1973,1312.198439,514.203491210938,0.0,89203.00085449229,no,no,no,no
1975,1312.39983,474.716674804688,12122.033203125,38572.8364257814,no,no,no,no
1976,1312.667717,744.195922851563,0.0,94566.37011718759,no,no,no,no
1983,1314.86174,524.288635253906,11423.5595703125,50610.28918457051,no,no,no,no
1990,1317.258511,479.225891113281,11110.6455078125,57071.4863281252,no,no,no,no
1997,1319.667825,403.845581054688,26301.158203125,57417.8441162113,no,no,no,no
2000,1320.479895,890.236755371094,8507.701171875,48265.889526367406,no,no,no,no
2004,1321.685734,396.227325439453,3190.951904296875,39010.0540771487,no,no,no,no
2013,1324.87538,422.224456787109,11786.0830078125,56324.6646728518,no,no,no,no
2016,1325.689227,422.540222167969,11917.0224609375,31047.350341797002,no,no,no,no
2020,1326.889674,608.285583496094,64460.9375,66872.4730224611,no,no,no,no
2029,1330.09992,667.178283691406,22266.140625,53567.137817383096,no,no,no,no
2031,1330.504419,488.247039794922,12359.041015625,55382.51489257829,no,no,no,no
2036,1332.107229,539.252624511719,14833.65234375,84021.87072753916,no,no,no,no
2044,1334.896492,385.220275878906,9725.4873046875,49851.10534668001,no,no,no,no
2047,1335.707229,532.208557128906,32407.82421875,54210.5432128908,no,no,no,no
2056,1338.89573,472.775390625,8477.40625,50076.8522949219,no,no,no,no
2074,1345.665751,405.859436035156,26606.333984375,68575.28674316431,no,no,no,no
2076,1346.069469,452.728576660156,27924.224609375,68586.6267089846,no,no,no,no
2078,1346.475581,558.790771484375,15567.4609375,41011.5783691409,no,no,no,no
2086,1349.275873,408.715362548828,15250.8046875,29745.8149414064,no,no,no,no
2091,1350.878677,624.300170898438,10672.6884765625,42508.0919189454,no,no,no,no
2099,1353.673073,741.197082519531,15104.0546875,24113.609741211,no,no,no,no
2111,1358.067059,475.24609375,13622.13671875,61356.50451660181,no,no,no,no
2114,1358.874897,815.216247558594,8856.75390625,50967.593505859804,no,no,no,no
2116,1359.277272,602.285522460938,416470.4375,561622.6750488287,no,yes,no,yes
2123,1361.69529,524.211853027344,12800.4521484375,52987.4918212894,no,no,no,no
2134,1365.702893,423.496551513672,8857.2412109375,30831.2563476563,no,no,no,no
2137,1366.512478,401.859588623047,177090.109375,361934.5257568362,no,yes,yes,yes
2139,1366.914608,605.263793945313,18317.900390625,28487.5537109377,no,no,no,no
2142,1367.72706,456.251831054688,10226.4150390625,45887.8948974611,no,no,no,no
2148,1369.728244,477.600830078125,9897.53515625,49655.849243164404,no,no,no,no
2156,1372.520146,514.203369140625,45139.5078125,46438.726806640705,no,no,no,no
2157,1372.788408,623.258178710938,14643.6044921875,98452.57434082059,no,no,no,no
2164,1374.98067,587.2919921875,14006.2109375,49113.1119384768,no,no,no,no
2175,1378.963049,385.192016601563,8738.87109375,61947.34509277391,no,no,no,no
2178,1379.776135,403.845336914063,63541.44921875,69598.40539550819,no,no,no,no
2180,1380.167879,583.713317871094,4337.98486328125,32402.5693359375,no,no,no,no
2183,1380.97598,406.859649658203,14748.623046875,149029.0460205084,no,no,no,no
2184,1381.244093,479.226196289063,13700.759765625,77551.8139648442,no,no,no,no
2191,1383.436748,684.204895019531,15919.6552734375,42076.656616211105,no,no,no,no
2198,1385.831301,422.5400390625,13287.271484375,56337.4003906253,no,no,no,no
2202,1387.033631,608.285766601563,233858.296875,298090.7221679693,no,yes,no,no
2204,1387.428846,394.215362548828,9713.390625,34879.412841797,no,no,no,no
2211,1389.821636,1262.54345703125,0.0,56339.7662353515,no,no,no,no
2216,1391.426223,667.177978515625,25354.826171875,58850.23144531291,no,no,no,no
2228,1395.794322,532.208557128906,29385.685546875,55949.925781250306,no,no,no,no
2234,1397.79175,424.221405029297,8058.8447265625,72290.8262939457,no,no,no,no
2235,1398.05974,1293.002685546875,0.0,113117.59692382859,no,no,no,no
2237,1398.26083,1091.546264648438,0.0,55083.12219238301,no,no,no,no
2239,1398.663195,818.213256835938,6641.72216796875,40674.8099365235,no,no,no,no
2254,1404.229622,472.246887207031,7050.5205078125,34160.717529297,no,no,no,no
2257,1405.038335,407.266479492188,15374.1123046875,73570.3870849612,no,yes,no,no
2275,1411.795605,681.230102539063,8017.3623046875,47155.06079101581,no,no,no,no
2282,1414.189769,560.254272460938,0.0,42282.405761719005,no,no,no,no
2293,1418.170358,480.742126464844,9945.470703125,33084.077880859506,no,no,no,no
2296,1418.976955,405.860229492188,16702.236328125,81091.1793212894,no,no,no,no
2298,1419.37194,602.285461425781,192251.15625,241648.15039062532,no,yes,no,yes
2305,1421.773481,524.211486816406,66647.1328125,99663.23217773461,no,no,no,yes
2306,1422.041605,408.715789794922,16785.54296875,94847.65405273456,no,no,yes,no
2318,1426.237961,741.197265625,16433.08984375,48818.860717773794,no,no,no,no
2320,1426.642178,401.859893798828,108103.2109375,233526.86645507868,no,no,no,yes
2322,1427.045412,605.263916015625,17154.51171875,34464.4389648438,no,no,no,no
2331,1430.234061,477.601043701172,16127.927734375,64018.06689453131,no,no,no,no
2337,1432.221368,821.36083984375,9489.9453125,46816.14892578141,no,no,no,no
2339,1432.624584,514.203552246094,70568.015625,91819.4055175781,no,no,no,no
2348,1435.816348,821.027099609375,10032.607421875,51989.825195312806,no,no,no,no
2354,1437.807522,388.209716796875,59102.95703125,142903.4227294926,no,yes,no,yes
2361,1440.202933,403.845123291016,104226.4921875,120240.87536621127,no,no,no,no
2363,1440.596683,583.713439941406,25429.306640625,35455.8275146487,no,no,no,no
2364,1440.865454,436.225372314453,19709.046875,102826.65209960978,no,no,no,no
2367,1441.475172,456.251495361328,7445.4287109375,65075.466796875204,no,no,no,no
2372,1443.065961,512.229370117188,71615.4921875,118324.471801758,no,no,yes,yes
2373,1443.334487,422.22412109375,8021.81591796875,110198.05273437548,no,no,no,no
2380,1445.531393,1342.521850585938,0.0,57008.74450683622,no,no,no,no
2381,1445.799787,587.820556640625,0.0,101845.42895507847,no,no,no,no
2383,1445.999129,474.763946533203,6370.59716796875,62950.181518555,no,no,no,no
2386,1446.807453,422.539947509766,10839.486328125,43575.384155273605,no,no,no,no
2388,1447.207071,608.285827636719,149343.96875,170571.2274169927,no,yes,no,no
2396,1450.001088,396.681243896484,18101.216796875,35790.661132812806,no,no,no,no
2397,1450.269715,545.797668457031,0.0,107354.11828613326,no,no,no,no
2401,1451.27367,456.744232177734,15876.0146484375,37889.727416992406,no,no,no,no
2414,1456.041629,532.208435058594,40515.64453125,66040.5524902346,no,no,no,no
2436,1465.332562,646.283020019531,5948.69384765625,43852.7373046877,no,no,no,no
2439,1466.166273,489.580261230469,28713.41015625,81521.4321289065,no,yes,no,no
2445,1468.204314,384.164642333984,13397.1025390625,17872.4082031251,no,no,no,no
2448,1469.027151,680.333984375,6178.1982421875,18536.3721923829,no,no,no,no
2455,1471.51856,733.866760253906,10705.93359375,51504.9884033205,no,no,no,no
2461,1473.560628,436.880279541016,37023.02734375,66324.2465820316,no,no,no,no
2464,1474.386714,560.253540039063,26051.603515625,89953.23937988332,no,no,yes,yes
2465,1474.654962,421.209777832031,5993.9326171875,87887.18164062538,no,no,no,no
2473,1477.298219,395.868438720703,9442.2275390625,39693.198120117304,no,no,no,no
2476,1478.121204,479.225219726563,0.0,30765.1153564455,no,no,no,no
2481,1479.758641,602.285705566406,96865.109375,121961.88366699261,no,no,no,no
2482,1480.02702,567.764221191406,18543.640625,98062.64074707076,no,no,no,no
2488,1481.873563,524.2109375,205485.328125,347538.2244873052,no,yes,no,yes
2492,1483.13701,380.696411132813,6599.18408203125,43134.6831054691,no,no,no,no
2496,1484.373354,391.285491943359,25326.482421875,64394.0833740237,no,no,no,no
2501,1485.985919,408.715484619141,10181.1689453125,51919.70068359399,no,no,no,no
2502,1486.254427,673.773193359375,4539.609375,99068.5424804693,no,no,no,no
2505,1486.864994,401.859985351563,80289.25,194922.97070312573,no,yes,no,yes
2511,1488.858808,405.859741210938,11368.7646484375,74721.13317871142,no,no,no,no
2513,1489.251555,582.609252929688,23549.029296875,54810.284912109506,no,no,no,no
2514,1489.519956,478.720764160156,4277.74560546875,92105.52246093788,no,no,no,no
2519,1490.919232,477.600708007813,17873.60546875,50424.9895019535,no,no,no,no
2520,1491.187763,547.283020019531,0.0,52880.5592041019,no,no,no,no
2521,1491.278465,630.296142578125,4640.1767578125,91127.81677246118,no,no,no,no
2525,1492.28256,485.225555419922,9710.2744140625,43193.5230712893,no,no,no,no
2527,1492.685555,514.203674316406,94097.171875,85967.1678466797,no,no,no,no
2534,1495.081459,396.528228759766,26704.5390625,90856.20227050818,no,no,no,no
2535,1495.349861,458.244384765625,20092.88671875,79956.3620605472,no,no,no,no
2539,1496.340786,1266.493408203125,0.0,49074.8146972658,no,no,no,no
2541,1496.742651,470.886352539063,7817.70263671875,36308.21850585961,no,no,no,no
2542,1497.011416,1323.508666992188,0.0,98757.11047363297,no,no,no,no
2544,1497.209133,605.263549804688,5538.900390625,42589.6135253909,no,no,no,no
2551,1499.608429,388.209716796875,50293.0078125,119528.13293457069,no,yes,no,yes
2555,1500.815627,403.845001220703,61849.30859375,106840.75012207088,no,yes,no,no
2561,1502.814308,594.2880859375,223250.40625,415630.4251708992,no,yes,no,yes
2563,1503.214675,422.215087890625,7333.8603515625,38251.287841796904,no,no,no,no
2564,1503.483188,630.63037109375,12598.509765625,80246.52026367221,no,no,no,no
2568,1504.485264,821.361267089844,7380.23828125,41075.916015625,no,no,no,no
2574,1506.484311,631.799194335938,10633.1162109375,33554.4847412111,no,no,no,no
2577,1507.291134,608.28564453125,98547.9453125,141447.14575195347,no,no,no,no
2578,1507.559537,422.540496826172,12925.7705078125,108113.09008789097,no,no,no,no
2581,1508.163632,713.829406738281,4995.2841796875,41895.2250976563,no,no,no,no
2585,1509.366078,474.763885498047,4400.4501953125,51407.9232177735,no,no,no,no
2592,1511.739735,529.251403808594,4611.3232421875,35789.963378906396,no,no,no,no
